date,confirmed
2020-01-19,1
2020-01-20,14
2020-01-21,26
2020-01-22,32
2020-01-23,53
2020-01-24,78
2020-01-25,98
2020-01-26,146
2020-01-27,188
2020-01-28,241
2020-01-29,311
2020-01-30,393
2020-01-31,520
2020-02-01,604
2020-02-02,683
2020-02-03,797
2020-02-04,870
2020-02-05,944
2020-02-06,1018
2020-02-07,1075
2020-02-08,1120
2020-02-09,1151
2020-02-10,1177
2020-02-11,1219
2020-02-12,1241
2020-02-13,1261
2020-02-14,1294
2020-02-15,1316
2020-02-16,1322
2020-02-17,1328
2020-02-18,1331
2020-02-19,1332
2020-02-20,1333
2020-02-21,1339
2020-02-22,1342
2020-02-23,1345
2020-02-24,1347
2020-02-25,1347
2020-02-26,1347
2020-02-27,1348
2020-02-28,1349
2020-02-29,1349
2020-03-01,1350
2020-03-02,1350
2020-03-03,1350
2020-03-04,1350
2020-03-05,1351
2020-03-06,1352
2020-03-07,1352
2020-03-08,1352
