date,confirmed
2020-01-21,1
2020-01-22,5
2020-01-23,9
2020-01-24,32
2020-01-25,83
2020-01-26,128
2020-01-27,168
2020-01-28,206
2020-01-29,206
2020-01-30,352
2020-01-31,422
2020-02-01,493
2020-02-02,566
2020-02-03,675
2020-02-04,764
2020-02-05,851
2020-02-06,914
2020-02-07,980
2020-02-08,1033
2020-02-09,1073
2020-02-10,1105
2020-02-11,1135
2020-02-12,1169
2020-02-13,1184
2020-02-14,1212
2020-02-15,1231
2020-02-16,1246
2020-02-17,1257
2020-02-18,1261
2020-02-19,1265
2020-02-20,1267
2020-02-21,1270
2020-02-22,1271
2020-02-23,1271
2020-02-24,1271
2020-02-25,1271
2020-02-26,1272
2020-02-27,1272
2020-02-28,1272
2020-02-29,1272
2020-03-01,1272
2020-03-02,1272
2020-03-03,1272
2020-03-04,1272
2020-03-05,1272
2020-03-06,1272
2020-03-07,1272
2020-03-08,1272
