date,confirmed
2020-01-21,1
2020-01-22,4
2020-01-23,24
2020-01-24,43
2020-01-25,69
2020-01-26,100
2020-01-27,143
2020-01-28,221
2020-01-29,277
2020-01-30,332
2020-01-31,389
2020-02-01,463
2020-02-02,521
2020-02-03,593
2020-02-04,661
2020-02-05,711
2020-02-06,772
2020-02-07,803
2020-02-08,838
2020-02-09,879
2020-02-10,912
2020-02-11,946
2020-02-12,968
2020-02-13,988
2020-02-14,1001
2020-02-15,1004
2020-02-16,1006
2020-02-17,1007
2020-02-18,1008
2020-02-19,1010
2020-02-20,1011
2020-02-21,1013
2020-02-22,1016
2020-02-23,1016
2020-02-24,1016
2020-02-25,1016
2020-02-26,1017
2020-02-27,1017
2020-02-28,1018
2020-02-29,1018
2020-03-01,1018
2020-03-02,1018
2020-03-03,1018
2020-03-04,1018
2020-03-05,1018
2020-03-06,1018
2020-03-07,1018
2020-03-08,1018
