date,confirmed
2019-12-01,1
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-05,1
2019-12-06,1
2019-12-07,1
2019-12-08,1
2019-12-09,1
2019-12-10,1
2019-12-11,4
2019-12-12,4
2019-12-13,4
2019-12-14,4
2019-12-15,6
2019-12-16,6
2019-12-17,7
2019-12-18,8
2019-12-19,9
2019-12-20,14
2019-12-21,18
2019-12-22,21
2019-12-23,29
2019-12-24,30
2019-12-25,33
2019-12-26,35
2019-12-27,37
2019-12-28,37
2019-12-29,37
2019-12-30,37
2019-12-31,40
2020-01-01,43
2020-01-02,44
2020-01-03,41
2020-01-04,41
2020-01-05,41
2020-01-06,41
2020-01-07,41
2020-01-08,41
2020-01-09,41
2020-01-10,41
2020-01-11,41
2020-01-12,41
2020-01-13,41
2020-01-14,41
2020-01-15,41
2020-01-16,45
2020-01-17,62
2020-01-18,121
2020-01-19,198
2020-01-23,495
2020-01-24,572
2020-01-25,618
2020-01-26,698
2020-01-27,1590
2020-01-28,1905
2020-01-29,2261
2020-01-30,2639
2020-01-31,3215
2020-02-01,4109
2020-02-02,5142
2020-02-03,6384
2020-02-04,8351
2020-02-05,10117
2020-02-06,11618
2020-02-07,11618
2020-02-08,13603
2020-02-09,14982
2020-02-10,16902
2020-02-11,18454
2020-02-12,19558
2020-02-13,32994
2020-02-14,35991
2020-02-15,37914
2020-02-16,39462
2020-02-17,41152
2020-02-18,42752
2020-02-19,44412
2020-02-20,45027
2020-02-21,45346
2020-02-22,45660
2020-02-23,46201
2020-02-24,46607
2020-02-25,47071
2020-02-26,47441
2020-02-27,47824
2020-02-28,48137
2020-02-29,48557
2020-03-01,49122
2020-03-02,49315
2020-03-03,49426
2020-03-04,49540
2020-03-05,49671
2020-03-06,49797
2020-03-07,49871
2020-03-08,49912
