date,confirmed
2020-01-20,0
2020-01-21,5
2020-01-22,10
2020-01-23,43
2020-01-24,62
2020-01-25,104
2020-01-26,128
2020-01-27,173
2020-01-28,296
2020-01-29,428
2020-01-30,537
2020-01-31,599
2020-02-01,661
2020-02-02,724
2020-02-03,829
2020-02-04,895
2020-02-05,954
2020-02-06,1006
2020-02-07,1048
2020-02-08,1075
2020-02-09,1092
2020-02-10,1117
2020-02-11,1131
2020-02-12,1145
2020-02-13,1155
2020-02-14,1162
2020-02-15,1167
2020-02-16,1171
2020-02-17,1172
2020-02-18,1173
2020-02-19,1175
2020-02-20,1203
2020-02-21,1205
2020-02-22,1205
2020-02-23,1205
2020-02-24,1205
2020-02-25,1205
2020-02-26,1205
2020-02-27,1205
2020-02-28,1205
2020-02-29,1205
2020-03-01,1206
2020-03-02,1213
2020-03-03,1213
2020-03-04,1215
2020-03-05,1215
2020-03-06,1215
2020-03-07,1215
2020-03-08,1215
